Gene	Associated Phenotype(s)	Inheritance	Associated System(s)
TGFB3	LOEYS-DIETZ SYNDROME 5; LDS5 | ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 1; ARVD1	AD	skinNailsHairSkin, skeletalSkull, growthOther, skeletalPelvis, headAndNeckHead, abdomenExternalFeatures, cardiovascularHeart, skeletalFeet, growthHeight, headAndNeckFace, skeletalHands, headAndNeckEyes, chestDiaphragm, skeletalLimbs, growthWeight, neurologicCentralNervousSystem, cardiovascularVascular, skeletal, chestExternalFeatures, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, skeletalSpine, muscleSoftTissue
chrX:135.6-136.1	CHROMOSOME Xq26.3 DUPLICATION SYNDROME	XLD	skinNailsHairSkin, neurologicCentralNervousSystem, growthWeight, abdomenGastrointestinal, cardiovascularHeart, skeletal, growthHeight, headAndNeckTeeth, headAndNeckFace, skeletalHands, skeletalFeet, respiratoryNasopharynx, endocrineFeatures
WBS	WILLIAMS-BEUREN SYNDROME; WBS	AD	skinNailsHairSkin, abdomenExternalFeatures, growthOther, genitourinaryKidneys, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, growthHeight, respiratoryLarynx, headAndNeckFace, headAndNeckNose, headAndNeckEyes, laboratoryAbnormalities, neurologicBehavioralPsychiatricManifestations, voice, skeletalLimbs, growthWeight, neurologicCentralNervousSystem, cardiovascularVascular, endocrineFeatures, skeletal, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, headAndNeckTeeth, genitourinaryBladder, cardiovascularHeart, genitourinaryUreters, skeletalSpine, skinNailsHairNails, skinNailsHairHair
TGFBR2	LOEYS-DIETZ SYNDROME 2; LDS2 | ESOPHAGEAL CANCER	AD, Somatic mutation	skinNailsHairSkin, skeletalSkull, growthOther, neurologicCentralNervousSystem, cardiovascularVascular, skeletal, abdomenExternalFeatures, cardiovascularHeart, skeletalFeet, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, headAndNeckFace, skeletalHands, headAndNeckEyes, skeletalSpine, neoplasia
PBC1	BILIARY CIRRHOSIS, PRIMARY, 1; PBC1	AD	
CREATION	MITOCHONDRIAL MYOPATHY WITH LACTIC ACIDOSIS; MMLA	AR	neurologicCentralNervousSystem, growthWeight, laboratoryAbnormalities, muscleSoftTissue, voice, metabolicFeatures
NLGN4	ASPERGER SYNDROME, X-LINKED, SUSCEPTIBILITY TO, 2; ASPGX2 | AUTISM, SUSCEPTIBILITY TO, X-LINKED 2; AUTSX2	X-linked	neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem, laboratoryAbnormalities
CMH21	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 21; CMH21	AD	cardiovascularHeart
LGI4	ARTHROGRYPOSIS MULTIPLEX CONGENITA, NEUROGENIC, WITH MYELIN DEFECT; AMCNMY	AR	skeletalPelvis, headAndNeckHead, headAndNeckEars, skeletalFeet, neurologicPeripheralNervousSystem, headAndNeckFace, prenatalManifestationsMovement, skeletalHands, headAndNeckEyes, respiratoryLung, skeletalLimbs, neurologicCentralNervousSystem, skeletal, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, headAndNeckTeeth, muscleSoftTissue
SLC5A1	GLUCOSE/GALACTOSE MALABSORPTION; GGM	AR	abdomenGastrointestinal, growthOther, laboratoryAbnormalities, metabolicFeatures, abdomen
SLC5A2	RENAL GLUCOSURIA; GLYS	AD	cardiovascularVascular, genitourinaryKidneys, metabolicFeatures
B	ANEMIA, CONGENITAL DYSERYTHROPOIETIC, TYPE II; CDAN2 | COWDEN SYNDROME 7; CWS7 | MUCOPOLYSACCHARIDOSIS, TYPE VI; MPS6 | MUSCULAR DYSTROPHY, LIMB-GIRDLE, AUTOSOMAL DOMINANT 1; LGMDD1 | NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IIB; HSAN2B | COFFIN-SIRIS SYNDROME 3; CSS3 | BARTTER SYNDROME, TYPE 3; BARTS3 | DEAFNESS, AUTOSOMAL RECESSIVE 104; DFNB104 | SPONDYLOARTHROPATHY, SUSCEPTIBILITY TO, 1; SPDA1 | IMMUNODEFICIENCY 33; IMD33 | SPASTIC PARAPLEGIA 5A, AUTOSOMAL RECESSIVE; SPG5A | ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA; ASAT | HYPOBETALIPOPROTEINEMIA, FAMILIAL, 1; FHBL1 | SCHWANNOMATOSIS 1; SWNTS1 | BARTTER SYNDROME, TYPE 4B, NEONATAL, WITH SENSORINEURAL DEAFNESS; BARTS4B | EPILEPSY, IDIOPATHIC GENERALIZED, SUSCEPTIBILITY TO, 15; EIG15 | SURFACTANT METABOLISM DYSFUNCTION, PULMONARY, 1; SMDP1 | PSEUDOHYPERKALEMIA, FAMILIAL, 2, DUE TO RED CELL LEAK; PSHK2 | OSTEOGENESIS IMPERFECTA, TYPE IX; OI9 | CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC, 3; PFIC3 | FRUCTOSE INTOLERANCE, HEREDITARY | NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE III; HSAN3 | AICARDI-GOUTIERES SYNDROME 2; AGS2 | RHABDOID TUMOR PREDISPOSITION SYNDROME 1; RTPS1 | MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 14; MDDGC14 | PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS, AUTOSOMAL DOMINANT 5; PEOA5 | CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY 3; ICP3 | EPILEPSY, PROGRESSIVE MYOCLONIC, 4, WITH OR WITHOUT RENAL FAILURE; EPM4 | ATELOSTEOGENESIS, TYPE I; AO1 | CILIARY DYSKINESIA, PRIMARY, 34; CILD34 | PARAGANGLIOMAS 4; PGL4 | FETAL HEMOGLOBIN QUANTITATIVE TRAIT LOCUS 1; HBFQTL1 | SPINAL MUSCULAR ATROPHY, DISTAL, AUTOSOMAL RECESSIVE, 5; DSMA5 | ZIMMERMANN-LABAND SYNDROME 2; ZLS2 | MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH MENTAL RETARDATION), TYPE B, 14; MDDGB14 | WAARDENBURG SYNDROME, TYPE 4A; WS4A | SHORT SLEEPER | DUANE RETRACTION SYNDROME 3 WITH OR WITHOUT DEAFNESS; DURS3 | OBESITY | MENTAL RETARDATION, X-LINKED, SYNDROMIC 14; MRXS14 | DEAFNESS, CONGENITAL, WITH ONYCHODYSTROPHY, AUTOSOMAL DOMINANT; DDOD | PREKALLIKREIN DEFICIENCY | BILE ACID SYNTHESIS DEFECT, CONGENITAL, 3; CBAS3 | DEAFNESS, AUTOSOMAL RECESSIVE 91; DFNB91 | ATELOSTEOGENESIS, TYPE III; AO3 | ECTODERMAL DYSPLASIA AND IMMUNODEFICIENCY 2; EDAID2 | SPONDYLOCARPOTARSAL SYNOSTOSIS SYNDROME; SCT | HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 2; HSCR2 | SPINAL MUSCULAR ATROPHY, LATE-ONSET, FINKEL TYPE; SMAFK | AMYOTROPHIC LATERAL SCLEROSIS 8; ALS8 | HYPERCHOLESTEROLEMIA, FAMILIAL, 2; FCHL2 | PEELING SKIN SYNDROME 5; PSS5 | OSTEOPATHIA STRIATA WITH CRANIAL SCLEROSIS; OSCS | IMMUNODEFICIENCY 15B; IMD15B | CHYLOMICRON RETENTION DISEASE; CMRD | MYOCLONIC EPILEPSY OF UNVERRICHT AND LUNDBORG | IMMUNODEFICIENCY 15A; IMD15A | MENTAL RETARDATION, AUTOSOMAL DOMINANT 35; MRD35 | MENTAL RETARDATION, FRA12A TYPE | CEREBROCOSTOMANDIBULAR SYNDROME; CCMS | GREENBERG DYSPLASIA; GRBGD | MULTICENTRIC CARPOTARSAL OSTEOLYSIS SYNDROME; MCTO | ARTHROGRYPOSIS, RENAL DYSFUNCTION, AND CHOLESTASIS 1; ARCS1 | PALMOPLANTAR KERATODERMA, NAGASHIMA TYPE; PPKN | LEUKODYSTROPHY, HYPOMYELINATING, 8, WITH OR WITHOUT OLIGODONTIA AND/OR HYPOGONADOTROPIC HYPOGONADISM; HLD8 | NEURODEVELOPMENTAL DISORDER WITH POOR LANGUAGE AND LOSS OF HAND SKILLS; NDPLHS | ACROMESOMELIC DYSPLASIA, MAROTEAUX TYPE; AMDM | GALLBLADDER DISEASE 1; GBD1 | REYNOLDS SYNDROME | HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 4; AHUS4 | POIKILODERMA, HEREDITARY FIBROSING, WITH TENDON CONTRACTURES, MYOPATHY, AND PULMONARY FIBROSIS; POIKTMP | ADRENAL HYPOPLASIA, CONGENITAL; AHC | CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC, 2; PFIC2 | CHOLESTASIS, BENIGN RECURRENT INTRAHEPATIC, 2; BRIC2 | POLYCYSTIC KIDNEY DISEASE 6 WITH OR WITHOUT POLYCYSTIC LIVER DISEASE; PKD6 | DYSCHROMATOSIS UNIVERSALIS HEREDITARIA 3; DUH3 | MITOCHONDRIAL DNA DEPLETION SYNDROME 8A (ENCEPHALOMYOPATHIC TYPE WITH RENAL TUBULOPATHY); MTDPS8A | PELGER-HUET ANOMALY; PHA | LARSEN SYNDROME; LRS | FANCONI ANEMIA, COMPLEMENTATION GROUP B; FANCB | CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ix; CDG1X | 3-METHYLGLUTACONIC ACIDURIA WITH CATARACTS, NEUROLOGIC INVOLVEMENT, AND NEUTROPENIA; MEGCANN | MICROPHTHALMIA, ISOLATED, WITH COLOBOMA 7; MCOPCB7 | IMMUNODEFICIENCY 53; IMD53 | MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 14; MDDGA14 | C1q DEFICIENCY; C1QD | EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 59; EIEE59	AD, Multifactorial, Digenic recessive, XLD, AR, XLR	skinNailsHairSkin, prenatalManifestationsAmnioticFluid, skeletalPelvis, genitourinaryKidneys, skeletalSkull, headAndNeckEars, skeletalFeet, abdomenBiliaryTract, respiratoryLarynx, abdomenPancreas, headAndNeckFace, headAndNeckNose, skeletalHands, neoplasia, headAndNeckNeck, prenatalManifestationsDelivery, respiratoryNasopharynx, abdomenSpleen, growthWeight, neurologicCentralNervousSystem, cardiovascularVascular, endocrineFeatures, respiratoryAirways, headAndNeckMouth, genitourinaryExternalGenitaliaMale, skinNailsHairSkinHistology, muscleSoftTissue, metabolicFeatures, genitourinaryInternalGenitaliaFemale, abdomenExternalFeatures, growthOther, chestBreasts, headAndNeckHead, abdomenGastrointestinal, cardiovascularHeart, growthHeight, hematology, neurologicPeripheralNervousSystem, prenatalManifestationsMovement, headAndNeckEyes, laboratoryAbnormalities, respiratoryLung, neurologicBehavioralPsychiatricManifestations, skeletalLimbs, skinNailsHairNails, respiratory, immunology, skeletal, genitourinaryInternalGenitaliaMale, chestRibsSternumClaviclesAndScapulae, abdomenLiver, headAndNeckTeeth, genitourinaryBladder, prenatalManifestations, skeletalSpine, voice, chestExternalFeatures, skinNailsHairHair
LGI1	EPILEPSY, FAMILIAL TEMPORAL LOBE, 1; ETL1	AD	neurologicCentralNervousSystem
ECE1	HIRSCHSPRUNG DISEASE, CARDIAC DEFECTS, AND AUTONOMIC DYSFUNCTION; HCAD | HYPERTENSION, ESSENTIAL	AD, Multifactorial	skinNailsHairSkin, neurologicCentralNervousSystem, cardiovascularVascular, headAndNeckEars, genitourinaryExternalGenitaliaMale, cardiovascularHeart, headAndNeckNose, skeletalHands, neurologicBehavioralPsychiatricManifestations, metabolicFeatures, skinNailsHairNails
3B	IMMUNODEFICIENCY-CENTROMERIC INSTABILITY-FACIAL ANOMALIES SYNDROME 1; ICF1 | ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1 | SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 22; SCAR22	AR, AD	skinNailsHairSkin, skeletalSkull, growthOther, skeletalPelvis, headAndNeckHead, abdomenGastrointestinal, abdomenExternalFeatures, headAndNeckEars, skeletalFeet, growthHeight, respiratoryLarynx, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, respiratoryLung, cardiovascularVascular, prenatalManifestationsDelivery, skeletalLimbs, growthWeight, genitourinaryKidneys, neurologicCentralNervousSystem, immunology, respiratoryAirways, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, cardiovascularHeart, skeletalSpine, skinNailsHairHair, genitourinaryInternalGenitaliaFemale
F13A1	FACTOR XIII, A SUBUNIT, DEFICIENCY OF | THROMBOPHILIA DUE TO THROMBIN DEFECT; THPH1	AR, AD	skinNailsHairSkin, neurologicCentralNervousSystem, cardiovascularVascular, skeletal, headAndNeckMouth, hematology, headAndNeckNose, laboratoryAbnormalities, respiratoryLung, muscleSoftTissue
SCLC1	SMALL CELL CANCER OF THE LUNG	AD	
3A	HAREL-YOON SYNDROME; HAYOS | HYPOGONADOTROPIC HYPOGONADISM 16 WITH OR WITHOUT ANOSMIA; HH16 | TATTON-BROWN-RAHMAN SYNDROME; TBRS	AD, Autosomal dominant (see MISCELLANEOUS below)	abdomenExternalFeatures, chestBreasts, skeletalPelvis, headAndNeckHead, abdomenGastrointestinal, cardiovascularHeart, skeletalFeet, growthHeight, neurologicPeripheralNervousSystem, headAndNeckFace, headAndNeckNose, genitourinary, headAndNeckEyes, laboratoryAbnormalities, neurologicCentralNervousSystem, endocrineFeatures, skeletal, chestExternalFeatures, genitourinaryExternalGenitaliaMale, skeletalSpine, muscleSoftTissue, genitourinaryInternalGenitaliaMale, genitourinaryInternalGenitaliaFemale
FKRP	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 5; MDDGA5 | MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 5; MDDGC5 | MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH OR WITHOUT MENTAL RETARDATION), TYPE B, 5; MDDGB5	AR	neurologicCentralNervousSystem, headAndNeckHead, abdomenGastrointestinal, cardiovascularHeart, skeletalFeet, respiratoryLung, headAndNeckMouth, neurologicPeripheralNervousSystem, headAndNeckFace, respiratory, headAndNeckEyes, laboratoryAbnormalities, skeletalSpine, muscleSoftTissue
YWHAZ	POPOV-CHANG SYNDROME; POPCHAS	AD	skinNailsHairSkin, growthOther, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem, immunology, skeletal, headAndNeckMouth, cardiovascularHeart, skinNailsHairHair, cardiovascularVascular
OTSC4	OTOSCLEROSIS 4; OTSC4	AD	headAndNeckEars
Caused by deletion of 1.5Mb on 3q29 encompassing 22 genes {UMLS C2750401}	CHROMOSOME 3q29 DELETION SYNDROME	Isolated cases	growthOther, neurologicCentralNervousSystem, growthWeight, headAndNeckEars, skeletalFeet, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, headAndNeckFace, headAndNeckNose, skeletalHands, laboratoryAbnormalities, neurologicBehavioralPsychiatricManifestations
APRT	ADENINE PHOSPHORIBOSYLTRANSFERASE DEFICIENCY; APRTD	AR	genitourinaryUreters, genitourinaryKidneys, laboratoryAbnormalities
CASQ1	MYOPATHY, VACUOLAR, WITH CASQ1 AGGREGATES; VMCQA	AD	muscleSoftTissue, laboratoryAbnormalities
7A	FIBULAR APLASIA OR HYPOPLASIA, FEMORAL BOWING AND POLY-, SYN-, AND OLIGODACTYLY | ULNA AND FIBULA, ABSENCE OF, WITH SEVERE LIMB DEFICIENCY	AR	skinNailsHairSkin, skeletalSkull, chestBreasts, skeletalPelvis, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, headAndNeckNose, chestExternalFeatures, skeletalHands, headAndNeckEyes, headAndNeckNeck, skeletalLimbs, skinNailsHairNails, neurologicCentralNervousSystem, endocrineFeatures, genitourinaryInternalGenitaliaMale, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, genitourinaryExternalGenitaliaMale, skeletalSpine, genitourinaryExternalGenitaliaFemale, genitourinaryInternalGenitaliaFemale
NDUFS1	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 1; MC1DN1 | LEIGH SYNDROME; LS | MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 5; MC1DN5	AR	growthOther, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, abdomen, abdomenLiver, neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities, neurologicBehavioralPsychiatricManifestations, respiratory, cardiovascularHeart, muscleSoftTissue, skinNailsHairHair, metabolicFeatures
RPY	RETINITIS PIGMENTOSA, Y-LINKED; RPY	Y-linked	headAndNeckEyes
CFHR5	CFHR5 DEFICIENCY	AD	genitourinaryKidneys
NOP56	SPINOCEREBELLAR ATAXIA 36; SCA36	AD	muscleSoftTissue, headAndNeckEars, neurologicCentralNervousSystem, headAndNeckMouth, headAndNeckEyes
RB1	BLADDER CANCER | RETINOBLASTOMA; RB1 | SMALL CELL CANCER OF THE LUNG | OSTEOGENIC SARCOMA	AD, Somatic mutation	neoplasia, headAndNeckMouth, headAndNeckEyes
ALX4	CRANIOSYNOSTOSIS 5, SUSCEPTIBILITY TO; CRS5 | FRONTONASAL DYSPLASIA 2; FND2 | PARIETAL FORAMINA 2; PFM2	AR, AD	skinNailsHairSkin, skeletalSkull, neurologicCentralNervousSystem, headAndNeckHead, headAndNeckNose, headAndNeckEyes, skinNailsHairHair
ETS2	CRANIOSYNOSTOSIS 4; CRS4 | CHITAYAT SYNDROME; CHYTS	AD	prenatalManifestationsAmnioticFluid, neurologicCentralNervousSystem, headAndNeckHead, skeletalSkull, skeletalFeet, respiratoryAirways, headAndNeckMouth, headAndNeckTeeth, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, respiratoryLung, chestExternalFeatures
XB	VESICOURETERAL REFLUX 8; VUR8 | EHLERS-DANLOS SYNDROME, HYPERMOBILITY TYPE; EDSHMB | EHLERS-DANLOS SYNDROME, CLASSIC-LIKE; EDSCLL	AR, AD	skinNailsHairSkin, genitourinary, endocrineFeatures, abdomenGastrointestinal, cardiovascularHeart, genitourinaryKidneys, skeletalLimbs, genitourinaryBladder, genitourinaryUreters, laboratoryAbnormalities, skeletal, muscleSoftTissue, genitourinaryExternalGenitaliaFemale, genitourinaryInternalGenitaliaFemale
CRSA	CRANIOSYNOSTOSIS, ADELAIDE TYPE; CRSA	AD	
FEB1	FEBRILE SEIZURES, FAMILIAL, 1; FEB1	AD	neurologicCentralNervousSystem
PMFBP1	SPERMATOGENIC FAILURE 31; SPGF31	AR	genitourinaryInternalGenitaliaMale
AURKC	SPERMATOGENIC FAILURE 5; SPGF5	AR	laboratoryAbnormalities
{120700.0001})	COMPLEMENT COMPONENT 3 DEFICIENCY, AUTOSOMAL RECESSIVE; C3D	AR	immunology, genitourinaryKidneys, laboratoryAbnormalities
NDUFS4	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 1; MC1DN1 | LEIGH SYNDROME; LS	AR	growthOther, respiratory, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, cardiovascularHeart, abdomenLiver, neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations, skinNailsHairHair, metabolicFeatures
YWHAG	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 56; EIEE56	AD	neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem, skeletalSpine
OTSC1	OTOSCLEROSIS 1; OTSC1	Autosomal dominant with reduced penetrance	
RP1	RETINITIS PIGMENTOSA 1; RP1	AD	headAndNeckEyes, laboratoryAbnormalities
SOX18	HYPOTRICHOSIS-LYMPHEDEMA-TELANGIECTASIA SYNDROME; HLTS | HYPOTRICHOSIS-LYMPHEDEMA-TELANGIECTASIA-RENAL DEFECT SYNDROME; HLTRS	AR, AD	skinNailsHairSkin, genitourinaryExternalGenitaliaMale, neurologicCentralNervousSystem, genitourinaryKidneys, cardiovascularHeart, headAndNeckMouth, headAndNeckTeeth, headAndNeckFace, headAndNeckNose, prenatalManifestations, headAndNeckEyes, respiratoryLung, muscleSoftTissue, skinNailsHairHair, skinNailsHairNails
MGR12	MIGRAINE WITH OR WITHOUT AURA, SUSCEPTIBILITY TO, 12; MGR12	AD	headAndNeckEars, neurologicCentralNervousSystem, headAndNeckEyes, abdomenGastrointestinal
RP2	CHROMOSOME Xp11.3 DELETION SYNDROME | RETINITIS PIGMENTOSA 2; RP2	XLR, X-linked	neurologicCentralNervousSystem, growthHeight, headAndNeckHead, headAndNeckEyes
DUP5p13	CHROMOSOME 5p13 DUPLICATION SYNDROME	Isolated cases	skeletalSkull, headAndNeckHead, headAndNeckEars, skeletalFeet, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, neurologicBehavioralPsychiatricManifestations, growthWeight, neurologicCentralNervousSystem, headAndNeckMouth, skeletalSpine, muscleSoftTissue, skinNailsHairHair
NDUFS6	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 9; MC1DN9 | MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 1; MC1DN1	AR	growthOther, respiratory, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, cardiovascularHeart, abdomenLiver, neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities, muscleSoftTissue, metabolicFeatures
ATAD3A	HAREL-YOON SYNDROME; HAYOS	AD	neurologicCentralNervousSystem, skeletalPelvis, headAndNeckHead, abdomenGastrointestinal, cardiovascularHeart, skeletalFeet, chestExternalFeatures, neurologicPeripheralNervousSystem, headAndNeckFace, headAndNeckNose, headAndNeckEyes, laboratoryAbnormalities, skeletalSpine, muscleSoftTissue
GNPTG	MUCOLIPIDOSIS III GAMMA	AR	neurologicCentralNervousSystem, skeletalPelvis, cardiovascularHeart, skeletal, chestExternalFeatures, chestRibsSternumClaviclesAndScapulae, headAndNeckFace, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, skeletalSpine, growthHeight, headAndNeckNeck, skeletalLimbs
RP9	RETINITIS PIGMENTOSA 9; RP9	AD	headAndNeckEyes
CYP21A2	ADRENAL HYPERPLASIA, CONGENITAL, DUE TO 21-HYDROXYLASE DEFICIENCY	AR	
CARD11	IMMUNODEFICIENCY 11B WITH ATOPIC DERMATITIS; IMD11B | B-CELL EXPANSION WITH NFKB AND T-CELL ANERGY; BENTA | IMMUNODEFICIENCY 11; IMD11A	AR, AD	skinNailsHairSkin, respiratory, immunology, neoplasia, respiratoryLung, abdomenSpleen
NDUFS7	LEIGH SYNDROME; LS | MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 3; MC1DN3	AR	growthOther, respiratory, abdomenLiver, neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations, skinNailsHairHair, metabolicFeatures
M	PROGRESSIVE FAMILIAL HEART BLOCK, TYPE IB; PFHB1B | PAROXYSMAL NONKINESIGENIC DYSKINESIA, 3, WITH OR WITHOUT GENERALIZED EPILEPSY; PNKD3 | HYPERTENSION, DIASTOLIC, RESISTANCE TO | GLYCOSYLPHOSPHATIDYLINOSITOL DEFICIENCY; GPID | CEREBELLAR ATROPHY, DEVELOPMENTAL DELAY, AND SEIZURES; CADEDS | OSTEOPETROSIS, AUTOSOMAL DOMINANT 3; OPTA3 | OSTEOPETROSIS, AUTOSOMAL RECESSIVE 6; OPTB6 | HYPOMAGNESEMIA 1, INTESTINAL; HOMG1	AR, AD	skeletalSkull, skeletalPelvis, headAndNeckHead, cardiovascularHeart, hematology, abdomenLiver, laboratoryAbnormalities, skeletalLimbs, abdomenSpleen, neurologicCentralNervousSystem, cardiovascularVascular, endocrineFeatures, skeletal, headAndNeckTeeth, skeletalSpine, muscleSoftTissue
GLRB	HYPEREKPLEXIA 2; HKPX2	AR	neurologicBehavioralPsychiatricManifestations, prenatalManifestationsMovement, neurologicCentralNervousSystem, headAndNeckEyes
XVIIIB	KLIPPEL-FEIL SYNDROME 4, AUTOSOMAL RECESSIVE, WITH NEMALINE MYOPATHY AND FACIAL DYSMORPHISM; KFS4	AR	skeletalSkull, skeletalPelvis, headAndNeckHead, headAndNeckEars, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, headAndNeckNeck, neurologicCentralNervousSystem, cardiovascularVascular, skeletal, headAndNeckMouth, headAndNeckTeeth, cardiovascularHeart, skeletalSpine, muscleSoftTissue, voice, skinNailsHairHair
SYNGAP1	MENTAL RETARDATION, AUTOSOMAL DOMINANT 5; MRD5	AD	neurologicBehavioralPsychiatricManifestations, headAndNeckNeck, neurologicCentralNervousSystem, headAndNeckHead
C1S	EHLERS-DANLOS SYNDROME, PERIODONTAL TYPE, 2; EDSPD2	AD	skinNailsHairSkin, abdomenExternalFeatures, cardiovascularVascular, abdomenGastrointestinal, headAndNeckMouth, headAndNeckTeeth, skeletalHands, neoplasia, skeletalSpine, skeletalLimbs
MGAT2	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIa; CDG2A	AR	skinNailsHairSkin, growthOther, skeletalPelvis, headAndNeckHead, headAndNeckEars, skeletalFeet, growthHeight, hematology, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, neurologicBehavioralPsychiatricManifestations, headAndNeckNeck, skeletalLimbs, neurologicCentralNervousSystem, skeletal, chestExternalFeatures, headAndNeckMouth, headAndNeckTeeth, cardiovascularHeart, skeletalSpine, skinNailsHairHair
PANK2	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 1; NBIA1 | HYPOPREBETALIPOPROTEINEMIA, ACANTHOCYTOSIS, RETINITIS PIGMENTOSA, AND PALLIDAL DEGENERATION	AR	skinNailsHairSkin, genitourinaryBladder, neurologicCentralNervousSystem, abdomenGastrointestinal, skeletalFeet, hematology, headAndNeckFace, headAndNeckEyes, laboratoryAbnormalities, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations, voice
